name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
LeBron James,Cleveland Cavaliers,3/25/2018,2017,1966,1610612739,400975840,4,5,40,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-7,4,0,0,,0,0
LeBron James,Cleveland Cavaliers,4/21/2015,2014,1966,1610612739,400790907,3,6,52,1,Alley Oop Dunk Shot,2PT Field Goal,0,Boston Celtics,0,1,0,0,"Bradley, Avery",2.6,20.3
LeBron James,Miami Heat,11/1/2013,2013,1966,1610612748,400488901,2,3,33,1,Alley Oop Dunk Shot,2PT Field Goal,0,Brooklyn Nets,-2,9,0,0.6,"Pierce, Paul",3.4,0
LeBron James,Miami Heat,11/5/2013,2013,1966,1610612748,400488924,3,5,35,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,-2,15,1,1.3,"Johnson, Amir",1.4,5.3
LeBron James,Miami Heat,11/12/2013,2013,1966,1610612748,400488980,2,0,32,1,Alley Oop Dunk Shot,2PT Field Goal,1,Milwaukee Bucks,6,9,0,0,"Middleton, Khris",5,21
LeBron James,Miami Heat,2/10/2013,2012,1966,1610612748,400278473,4,5,58,1,Alley Oop Dunk Shot,2PT Field Goal,0,Los Angeles Lakers,-4,7,,,,,
LeBron James,Miami Heat,11/16/2013,2013,1966,1610612748,400489009,2,4,1,1,Alley Oop Dunk Shot,2PT Field Goal,1,Charlotte Hornets,12,6,0,0.1,"Sessions, Ramon",4.2,0
LeBron James,Miami Heat,12/26/2012,2012,1966,1610612748,400278131,1,5,41,1,Alley Oop Dunk Shot,2PT Field Goal,0,Charlotte Hornets,-8,3,,,,,
LeBron James,Miami Heat,11/25/2013,2013,1966,1610612748,400489078,1,10,6,1,Alley Oop Dunk Shot,2PT Field Goal,0,Phoenix Suns,1,7,1,0.8,"Dragic, Goran",8.5,24
LeBron James,Miami Heat,11/29/2013,2013,1966,1610612748,400489103,2,3,18,1,Alley Oop Dunk Shot,2PT Field Goal,1,Toronto Raptors,-5,15,0,0.8,"Acy, Quincy",3.8,21.1
LeBron James,Miami Heat,11/29/2013,2013,1966,1610612748,400489103,2,6,34,1,Alley Oop Dunk Shot,2PT Field Goal,0,Toronto Raptors,2,-3,2,1.5,"Gay, Rudy",3.7,24
