slang_code_word,drug,drug2,drug3,,,,,
Cadillac ,Cocaine, PCP (Phencyclidine) ,,,,,,
Café ,Heroin, Marijuana ,,,,,,
Cajeta ,Heroin ,,,,,,,
Cajita ,Marijuana ,,,,,,,
Cajitas ,Methamphetamine ,,,,,,,
California Sunshine ,LSD (Lysergic Acid Diethylamide), Marijuana ,,,,,,
Camara ,Marijuana ,,,,,,,
Canadian Black ,Marijuana ,,,,,,,
Candy ,Crack Cocaine, Ecstasy/MDMA/Molly ,,,,,,
Capital H ,Heroin ,,,,,,,
Caps ,Crack Cocaine, Psilocybin Mushrooms ,,,,,,
Cardio ,White Heroin ,,,,,,,
Carga ,Heroin ,,,,,,,
Caro ,Heroin ,,,,,,,
Cartwheels ,Amphetamine ,,,,,,,
Casper the Ghost ,Crack Cocaine ,,,,,,,
Cat Food ,Ketamine (Ketalar®) ,,,,,,,
Cat Valium ,Ketamine (Ketalar®) ,,,,,,,
Catha ,Khat ,,,,,,,
Catnip ,Marijuana ,,,,,,,
Caviar ,Crack Cocaine, Marijuana Concentrates/Hash Oil ,,,,,,
CBD ,Marijuana Concentrates/Hash Oil ,,,,,,,
CBD Oil ,Marijuana Concentrates/Hash Oil ,,,,,,,
CD ,Crack Cocaine ,,,,,,,
C-Dust ,Cocaine ,,,,,,,
Cecil ,Cocaine ,,,,,,,
Cement ,Cocaine, Heroin ,,,,,,
Certificada ,Pure Heroin ,,,,,,,
Chalk ,Amphetamine, Methamphetamine ,,,,,,
Champiñones ,Psilocybin Mushrooms ,,,,,,,
Chandelier ,Methamphetamine ,,,,,,,
Chandoo ,Opium ,,,,,,,
Chapopote ,Heroin ,,,,,,,
Charlie ,Cocaine, Heroin ,,,,,,
Charlie Horse ,Heroin ,,,,,,,
Chat ,Khat ,,,,,,,
Chavalone ,Methamphetamine ,,,,,,,
Chavo ,Heroin ,,,,,,,
Cheap Basting ,Crack Cocaine ,,,,,,,
Cheeba ,Marijuana ,,,,,,,
Cheese ,Heroin, Marijuana ,,,,,,
Chernobyl ,Marijuana ,,,,,,,
Cherry Bomb ,Synthetic Cannabinoids ,,,,,,,
Cherry Dome ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Cherry Meth ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Chevy ,Cocaine ,,,,,,,
Chewies ,Crack Cocaine ,,,,,,,
Cheyenne ,Cocaine ,,,,,,,
Chica ,Cocaine ,,,,,,,
Chicago Green ,Marijuana ,,,,,,,
Chicantas ,Cocaine ,,,,,,,
Chicken ,Methamphetamine ,,,,,,,
Chicken Feed ,Methamphetamine ,,,,,,,
Chicken Powder ,Amphetamine, Methamphetamine ,,,,,,
Chicle ,Heroin ,,,,,,,
Chiclosa ,Heroin ,,,,,,,
Chief ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Chill ,Synthetic Cannabinoids ,,,,,,,
China ,Heroin, Opium ,,,,,,
China Blanca ,White Heroin ,,,,,,,
China Cat ,Heroin ,,,,,,,
China Girl ,Fentanyl and Fentanyl Derivatives ,,,,,,,
China Town ,Fentanyl and Fentanyl Derivatives ,,,,,,,
China White ,Fentanyl and Fentanyl Derivatives, Heroin ,,,,,,
Chinese ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Chinese Buffet ,Fentanyl and Fentanyl Derivatives, White Heroin ,,,,,,
Chinese Dragons ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Chinese Food ,Fentanyl and Fentanyl Derivatives, Heroin ,,,,,,
Chinese Molasses ,Opium ,,,,,,,
Chinese Red ,Heroin ,,,,,,,
Chinese Tobacco ,Opium ,,,,,,,
Chingy ,Crack Cocaine ,,,,,,,
Chinos ,Cocaine ,,,,,,,
Chip ,Heroin ,,,,,,,
Chippie ,Marijuana ,,,,,,,
Chistosa ,Marijuana ,,,,,,,
Chiva ,Cocaine, Heroin ,,,,,,
Chiva Blanca ,Heroin ,,,,,,,
Chiva Loca ,Heroin mixed with Fentanyl ,,,,,,,
Chiva Negra ,Heroin ,,,,,,,
Chivones ,Heroin ,,,,,,,
Chochos ,Amphetamine ,,,,,,,
Chocolate ,Heroin, Opium ,,,,,,
Chocolate Balls ,Heroin ,,,,,,,
Chocolate Chips ,Ecstasy/MDMA/Molly ,,,,,,,
Chocolate Shake ,Heroin ,,,,,,,
Chocolates ,Amphetamine ,,,,,,,
Choko ,Heroin ,,,,,,,
Chorizo ,Heroin ,,,,,,,
Chris ,Methamphetamine ,,,,,,,
Christina ,Amphetamine ,,,,,,,
Christine ,Methamphetamine ,,,,,,,
Christmas Tree ,Marijuana ,,,,,,,
Christmas Trees ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
Christy ,Methamphetamine ,,,,,,,
Chrome ,Synthetic Cannabinoids ,,,,,,,
Chronic ,Marijuana ,,,,,,,
Chunk ,Amphetamine ,,,,,,,
Churro ,Marijuana ,,,,,,,
Churro Negro ,Heroin ,,,,,,,
Chutazo ,Heroin ,,,,,,,
Cid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Cielo ,Cocaine ,,,,,,,
Cigars ,Marijuana ,,,,,,,
Circles ,Flunitrazepam (Rohypnol®) ,,,,,,,
