slang_code_word,drug,drug2,drug3,,,,,
Shabu ,Methamphetamine ,,,,,,,
Shaman ,Mescaline/Peyote ,,,,,,,
Shards ,Methamphetamine ,,,,,,,
Shatter ,Marijuana Concentrates/Hash Oil, Methamphetamine ,,,,,,
Shaved Ice ,Methamphetamine ,,,,,,,
Sheep ,Heroin ,,,,,,,
Sheets ,PCP (Phencyclidine) ,,,,,,,
Sherms ,Crack Cocaine, PCP (Phencyclidine) ,,,,,,
Shermstick ,PCP (Phencyclidine) ,,,,,,,
Shiny Girl ,Methamphetamine ,,,,,,,
Shirt ,Cocaine ,,,,,,,
Shirts ,Heroin ,,,,,,,
Shmagma ,Marijuana ,,,,,,,
Shoes ,Fentanyl and Fentanyl Derivatives, Heroin, Marijuana ,,,,,
Shora ,Marijuana ,,,,,,,
Shrimp ,Marijuana ,,,,,,,
Shwag ,Marijuana ,,,,,,,
Sierra ,Cocaine ,,,,,,,
Sight Ball ,Crack Cocaine ,,,,,,,
Silly Putty ,Psilocybin Mushrooms ,,,,,,,
Simple Simon ,Psilocybin Mushrooms ,,,,,,,
Sinsemilla ,Marijuana ,,,,,,,
Sizurup ,Promethazine ,,,,,,,
Sizzurp ,Promethazine ,,,,,,,
Skag ,Heroin ,,,,,,,
Skee ,Opium ,,,,,,,
Ski Equipment ,Cocaine ,,,,,,,
Skippy ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Skittle ,Ecstasy/MDMA/Molly ,,,,,,,
Skittles ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®)", Promethazine ,,,,,,
Skunk ,Heroin, Marijuana ,,,,,,
Sky High ,Synthetic Cannabinoids ,,,,,,,
Skywalker ,Hydroponic Marijuana ,,,,,,,
Slab ,Crack Cocaine ,,,,,,,
Sleet ,Crack Cocaine ,,,,,,,
Sleigh Ride ,Cocaine ,,,,,,,
Slime ,Heroin ,,,,,,,
Slits ,Ecstasy/MDMA/Molly ,,,,,,,
Smack ,Heroin ,,,,,,,
Smacks ,Ecstasy/MDMA/Molly ,,,,,,,
Small Girl ,Methamphetamine ,,,,,,,
Smart Pills ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
Smarties ,Amphetamine and Dextroamphetamine Combination (Adderall®),  ,,,,,,
Smeck ,Heroin ,,,,,,,
Smoke ,Crack Cocaine, Marijuana ,,,,,,
Smoke Canada ,Marijuana ,,,,,,,
"Smoochy Woochy  
Poochy ",Marijuana ,,,,,,,
Snake Bite ,Synthetic Cannabinoids ,,,,,,,
Snaps ,Amphetamine ,,,,,,,
Sneeze ,Cocaine ,,,,,,,
Snickers ,Heroin ,,,,,,,
Sniff ,Cocaine ,,,,,,,
Snow ,Cocaine ,,,,,,,
Snow Bird ,Cocaine ,,,,,,,
Snow Cone ,Cocaine ,,,,,,,
Snow Leopard ,Synthetic Cathinones ,,,,,,,
Snow Pallets ,Amphetamine ,,,,,,,
Snow White ,Cocaine ,,,,,,,
Snowball ,Cocaine ,,,,,,,
Snowflake ,Cocaine, Fentanyl and Fentanyl Derivatives ,,,,,,
Soap ,GHB (Gamma-Hydroxybutyric Acid) ,,,,,,,
Soap Dope ,Methamphetamine ,,,,,,,
Sobos ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Society High ,Cocaine ,,,,,,,
Soda ,Cocaine, Heroin ,,,,,,
Soditas ,Cocaine ,,,,,,,
Soft ,Cocaine ,,,,,,,
Soft Ones ,Methamphetamine ,,,,,,,
Solar Flare ,Synthetic Cannabinoids ,,,,,,,
Solventless ,Marijuana Concentrates/Hash Oil ,,,,,,,
Sour OG ,Marijuana ,,,,,,,
Space ,Cocaine mixed with PCP ,,,,,,,
Sparkle Plenty ,Amphetamine ,,,,,,,
Sparklers ,Amphetamine ,,,,,,,
Special  ,Cocaine ,,,,,,,
Special K ,Ketamine (Ketalar®) ,,,,,,,
Special La Coke ,Ketamine (Ketalar®) ,,,,,,,
Speed ,Amphetamine, Methamphetamine ,,,,,,
Speed Boat ,Crack Cocaine ,,,,,,,
Speed Dog ,Methamphetamine ,,,,,,,
Speed for Lovers ,Ecstasy/MDMA/Molly ,,,,,,,
Speedball ,Cocaine mixed with Heroin ,,,,,,,
Spice ,Synthetic Cannabinoids ,,,,,,,
Spicy Kind ,Methamphetamine ,,,,,,,
Spider Blue ,Heroin ,,,,,,,
Spike Diamond ,Synthetic Cannabinoids ,,,,,,,
Spin ,Methamphetamine ,,,,,,,
Spit and Die ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Splash ,Amphetamine ,,,,,,,
Spliff ,Marijuana ,,,,,,,
Spores  ,PCP (Phencyclidine) ,,,,,,,
Square Time Bomb ,Crack Cocaine ,,,,,,,
Stackers ,Steroids ,,,,,,,
"Star Spangled  
Powder ",Cocaine ,,,,,,,
Stardust ,Cocaine, PCP (Phencyclidine), Synthetic Cathinones ,,,,,
Stemmies ,Psilocybin Mushrooms ,,,,,,,
Stems ,Marijuana ,,,,,,,
Sticks ,Alprazolam (Xanax®) ,,,,,,,
Sticky ,Marijuana ,,,,,,,
Sticky Kind ,Heroin ,,,,,,,
Stink Weed ,Marijuana ,,,,,,,
Stone ,Crack Cocaine ,,,,,,,
Stop Signs ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Stops ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Storm ,Synthetic Cannabinoids ,,,,,,,
Stove Top ,Methamphetamine ,,,,,,,
STP ,PCP (Phencyclidine) ,,,,,,,
Studio Fuel ,Cocaine ,,,,,,,
Study Buddies ,Amphetamine and Dextroamphetamine Combination (Adderall®),  ,,,,,,
Study Skittles ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
Stufa ,Heroin ,,,,,,,
Stuff ,Methamphetamine ,,,,,,,
Suave ,Cocaine ,,,,,,,
Subs ,Buprenorphine and Naloxone Combination (Suboxone®) ,,,,,,,
Sugar ,Cocaine, Heroin ,,,,,,
Sugar Block ,Crack Cocaine ,,,,,,,
Sugar Cubes ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Sugar Lumps ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Sugar Weed ,Marijuana ,,,,,,,
Sunshine ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Super Acid ,Ketamine (Ketalar®) ,,,,,,,
Super C ,Ketamine (Ketalar®) ,,,,,,,
Super Grass ,PCP (Phencyclidine) ,,,,,,,
Super Ice ,Methamphetamine ,,,,,,,
Super Kools ,PCP (Phencyclidine) ,,,,,,,
Super Valium ,Clonazepam (Klonopin®) ,,,,,,,
Super Weed ,PCP (Phencyclidine) ,,,,,,,
Superman ,Cocaine, LSD (Lysergic Acid Diethylamide) ,,,,,,
Surfer ,PCP (Phencyclidine) ,,,,,,,
Sweet Jesus ,Heroin ,,,,,,,
Sweet Leaf ,Synthetic Cannabinoids ,,,,,,,
Sweet Lucy ,Marijuana ,,,,,,,
Sweet Stuff ,Cocaine ,,,,,,,
Sweeties ,Amphetamine ,,,,,,,
Sweets ,Amphetamine, Ecstasy/MDMA/Molly ,,,,,,
Synthetic Cocaine  ,PCP (Phencyclidine) ,,,,,,,
Synthetic Marijuana ,Synthetic Cannabinoids ,,,,,,,
Syrup ,Promethazine ,,,,,,,
Tabique ,Cocaine ,,,,,,,
Tablas ,Cocaine ,,,,,,,
Table ,Methamphetamine ,,,,,,,
Tabs ,"Hydrocodone (Norco®, Vicodin®, Lorcet®)", LSD (Lysergic Acid  ,,,,,,
Tacatosa ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Tacha ,Ecstasy/MDMA/Molly ,,,,,,,
Tahoe ,Hydroponic Marijuana ,,,,,,,
Tail Lights ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Takeover ,Crack Cocaine mixed with Fentanyl ,,,,,,,
Taking a Cruise ,PCP (Phencyclidine) ,,,,,,,
Talco ,Cocaine ,,,,,,,
Talquito ,Cocaine ,,,,,,,
Tamales ,Cocaine ,,,,,,,
Tan  ,Heroin ,,,,,,,
Tango and Cash ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Tangy OG ,Marijuana ,,,,,,,
Tar ,Heroin ,,,,,,,
Taxi ,Cocaine ,,,,,,,
T-Buzz ,PCP (Phencyclidine) ,,,,,,,
Tecata ,Heroin ,,,,,,,
Tecate ,Cocaine ,,,,,,,
Teddy Bears ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Teenager ,Cocaine ,,,,,,,
Teeth ,Cocaine, Crack Cocaine ,,,,,,
Tens ,Amphetamine ,,,,,,,
Tension ,Crack Cocaine ,,,,,,,
Tequila ,Cocaine ,,,,,,,
Terp ,Marijuana ,,,,,,,
Terp Sauce ,Marijuana Concentrates/Hash Oil ,,,,,,,
Terpenes ,Marijuana ,,,,,,,
Terraband ,Synthetic Cannabinoids ,,,,,,,
Texas Tea ,Marijuana ,,,,,,,
Tex-Mex ,Marijuana ,,,,,,,
THCA ,Marijuana Concentrates/Hash Oil ,,,,,,,
THCA Crystal ,Marijuana Concentrates/Hash Oil ,,,,,,,
THCA Crystalline ,Marijuana Concentrates/Hash Oil ,,,,,,,
THCA Powder ,Marijuana Concentrates/Hash Oil ,,,,,,,
Thizz ,Ecstasy/MDMA/Molly ,,,,,,,
Thrusters ,Amphetamine ,,,,,,,
Thunder ,Cocaine, Heroin ,,,,,,
Tic Tac ,PCP (Phencyclidine) ,,,,,,,
Ticket ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Tigitty ,Marijuana ,,,,,,,
Tila ,Marijuana ,,,,,,,
Time Traveler ,Synthetic Cannabinoids ,,,,,,,
Tims ,Marijuana ,,,,,,,
Tina ,Methamphetamine ,,,,,,,
Tire ,Cocaine ,,,,,,,
Tires ,Acetaminophen and Oxycodone Combination (Percocet®), Heroin,  ,,,,,
Tish ,PCP (Phencyclidine) ,,,,,,,
Tissue ,Crack Cocaine ,,,,,,,
TNT ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Toe Tag Dope ,Fentanyl and Fentanyl Derivatives ,,,,,,,
Tomasa ,Heroin ,,,,,,,
Tonto ,Cocaine ,,,,,,,
Toot ,Cocaine ,,,,,,,
Tootsie Roll ,Heroin ,,,,,,,
Top Gear ,Synthetic Cannabinoids ,,,,,,,
Top Gun ,Crack Cocaine ,,,,,,,
Top Shelf ,Marijuana ,,,,,,,
Topi ,Mescaline/Peyote ,,,,,,,
Tops ,Mescaline/Peyote ,,,,,,,
Tortes ,Cocaine ,,,,,,,
Tortuga ,Cocaine ,,,,,,,
Tosca ,Marijuana ,,,,,,,
Toxy ,Opium ,,,,,,,
Toyota ,Cocaine ,,,,,,,
Toys ,Opium ,,,,,,,
TR-6s ,Amphetamine ,,,,,,,
Tragic Magic ,Heroin ,,,,,,,
Train Wreck ,Marijuana, Synthetic Cannabinoids ,,,,,,
Tranks ,Clonazepam (Klonopin®), PCP (Phencyclidine) ,,,,,,
Trash ,Methamphetamine ,,,,,,,
Trees ,Heroin, Marijuana ,,,,,,
Trichrome ,Marijuana Concentrates/Hash Oil ,,,,,,,
Trinity OG ,Marijuana ,,,,,,,
Trip-and-Fall ,Flunitrazepam (Rohypnol®) ,,,,,,,
Triple V ,Vicodin® taken with Valium® and Vodka ,,,,,,,
Troop ,Crack Cocaine ,,,,,,,
Truck ,Methamphetamine ,,,,,,,
Truck Drivers ,Amphetamine, Amphetamine and Dextroamphetamine Combination  ,,,,,,
T-Shirts ,Cocaine ,,,,,,,
Tubo ,Cocaine ,,,,,,,
Tucibi ,Cocaine - Pink Variety ,,,,,,,
Tupperware ,Methamphetamine ,,,,,,,
Turkey ,Cocaine ,,,,,,,
Turn Abouts ,Amphetamine ,,,,,,,
Turtle ,Heroin ,,,,,,,
Tutti Fruitti ,Cocaine ,,,,,,,
Tweak ,Methamphetamine ,,,,,,,
Tweeds ,Marijuana ,,,,,,,
Tweezes ,Psilocybin Mushrooms ,,,,,,,
U4 ,U-47700 ,,,,,,,
Ultimate ,Crack Cocaine, Synthetic Cannabinoids ,,,,,,
Unassembled ,Powder Methamphetamine ,,,,,,,
Uncle Sid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Unkie ,Morphine ,,,,,,,
Up ,Crack Cocaine ,,,,,,,
Upjohns ,Alprazolam (Xanax®) ,,,,,,,
Uppers ,Amphetamine, Methamphetamine ,,,,,,
Uzi ,Crack Cocaine ,,,,,,,
Valle ,Marijuana ,,,,,,,
Valley Dolls ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Vanilla Sky ,Synthetic Cathinones ,,,,,,,
Vaquita ,Cocaine ,,,,,,,
Veeks ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Velvet ,Promethazine ,,,,,,,
Venom ,PCP (Phencyclidine) ,,,,,,,
Ventanas ,Methamphetamine ,,,,,,,
Vics ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Vidrio ,Heroin, Methamphetamine ,,,,,,
Vikes ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Viper ,Synthetic Cannabinoids ,,,,,,,
Vitamin E ,Ecstasy/MDMA/Molly ,,,,,,,
Vitamin K ,Ketamine (Ketalar®) ,,,,,,,
Vitamin R ,"Methylphenidate (Ritalin®, Concerta®, Daytrana®) ",,,,,,,
Vodka Acid ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Voodoo Chils ,Synthetic Cannabinoids ,,,,,,,
Vowels ,Ecstasy/MDMA/Molly ,,,,,,,
Wack ,PCP mixed with Cocaine  ,,,,,,,
Wake and Bake ,Marijuana ,,,,,,,
Wake Ups ,Amphetamine ,,,,,,,
Walking Zombie ,Methamphetamine ,,,,,,,
Wash ,Cocaine ,,,,,,,
Water ,GHB (Gamma-Hydroxybutyric Acid), Methamphetamine, PCP  ,,,,,
Watsons ,"Hydrocodone (Norco®, Vicodin®, Lorcet®) ",,,,,,,
Wave ,Crack Cocaine ,,,,,,,
Wax ,Marijuana Concentrates/Hash Oil ,,,,,,,
Wazabi ,Synthetic Cannabinoids ,,,,,,,
Wazz ,Methamphetamine ,,,,,,,
Wedding Bells ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Wedge ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Weed  ,Marijuana ,,,,,,,
Weed Tea ,Marijuana ,,,,,,,
Weight Gainers ,Steroids ,,,,,,,
Weights ,Heroin ,,,,,,,
"West Coast  
Turnarounds ",Amphetamine ,,,,,,,
Wet ,Cocaine, Marijuana dipped in PCP ,,,,,,
Whack ,Cocaine mixed with PCP ,,,,,,,
Wheat ,Marijuana ,,,,,,,
Wheels ,Acetaminophen and Oxycodone Combination (Percocet®), Amphetamine ,,,,,,
When-Shee ,Opium ,,,,,,,
Whiffle Dust ,Amphetamine ,,,,,,,
Whisky ,Heroin ,,,,,,,
White ,Cocaine, Heroin ,,,,,,
White Ball ,Crack Cocaine ,,,,,,,
White Bitch ,Cocaine ,,,,,,,
White Boy   ,Heroin ,,,,,,,
White Boys ,Alprazolam (Xanax®) ,,,,,,,
White Cross ,Cocaine ,,,,,,,
White Crosses ,Amphetamine ,,,,,,,
White Dove ,Cocaine, Synthetic Cathinones ,,,,,,
White Dust ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
White Fluff ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
White Ghost ,Crack Cocaine ,,,,,,,
White Girl ,Heroin, Fentanyl and Fentanyl Derivatives ,,,,,,
White Girls ,Alprazolam (Xanax®), Cocaine ,,,,,,
White Goat ,Cocaine ,,,,,,,
White Horizon ,PCP (Phencyclidine) ,,,,,,,
White Horse ,Cocaine ,,,,,,,
White Junk ,Heroin ,,,,,,,
White Knight ,Synthetic Cathinones ,,,,,,,
White Ladies ,Fentanyl and Fentanyl Derivatives ,,,,,,,
White Lady ,Cocaine, Heroin ,,,,,,
White Lightening ,LSD (Lysergic Acid Diethylamide), Synthetic Cathinones ,,,,,,
White Magic ,Synthetic Cathinones ,,,,,,,
White Mercedes   ,Ecstasy/MDMA/Molly ,,,,,,,
"White Mercedes  
Benz ",Cocaine ,,,,,,,
White Mosquito ,Cocaine ,,,,,,,
White Nurse ,Heroin ,,,,,,,
White Owsley ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
White Paint ,Cocaine ,,,,,,,
White Powder ,Cocaine ,,,,,,,
White Rock ,Cocaine ,,,,,,,
White Root ,Cocaine ,,,,,,,
White Shirt ,Cocaine, Heroin ,,,,,,
White Stuff ,Heroin, Morphine ,,,,,,
White Sugar ,Crack Cocaine ,,,,,,,
White T ,Cocaine ,,,,,,,
White Tornado ,Crack Cocaine ,,,,,,,
White Wall Tires ,Cocaine ,,,,,,,
White Whizz ,Methamphetamine ,,,,,,,
White-Haired Lady ,Marijuana ,,,,,,,
Whites ,Amphetamine," Oxycodone (Oxycontin®, Roxicodone®, Oxaydo®) ",,,,,,
Whitey ,Cocaine ,,,,,,,
Whiz Bang ,Cocaine ,,,,,,,
Wicked ,Synthetic Cannabinoids ,,,,,,,
Wicked X ,Synthetic Cathinones ,,,,,,,
Window Glass ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Window Pane ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Windows ,Methamphetamine ,,,,,,,
Wings ,Cocaine, Heroin ,,,,,,
Witch ,Heroin ,,,,,,,
Witch Hazel ,Heroin ,,,,,,,
Witches Teeth ,Methamphetamine ,,,,,,,
Wizard  ,Synthetic Cannabinoids ,,,,,,,
Wobble ,Ketamine (Ketalar®) ,,,,,,,
Wobble Weed ,PCP (Phencyclidine) ,,,,,,,
Wolfies ,Flunitrazepam (Rohypnol®), PCP (Phencyclidine) ,,,,,,
Wonky ,Ketamine (Ketalar®) ,,,,,,,
Wooly ,Cocaine ,,,,,,,
Wooz ,Marijuana ,,,,,,,
Work ,Cocaine ,,,,,,,
Worm ,PCP (Phencyclidine) ,,,,,,,
Wrecking Crew ,Crack Cocaine ,,,,,,,
X ,Ecstasy/MDMA/Molly ,,,,,,,
Xanies ,Alprazolam (Xanax®) ,,,,,,,
XTC ,Ecstasy/MDMA/Molly ,,,,,,,
Xtreme ,Synthetic Cannabinoids ,,,,,,,
Yaba ,Methamphetamine ,,,,,,,
Yahoo ,Crack Cocaine ,,,,,,,
Yale ,Crack Cocaine ,,,,,,,
Yayo ,Cocaine ,,,,,,,
Yellow Barn ,Methamphetamine ,,,,,,,
Yellow Boys ,Alprazolam (Xanax®) ,,,,,,,
Yellow Cake ,Methamphetamine ,,,,,,,
Yellow Dimples ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Yellow Fever ,PCP (Phencyclidine) ,,,,,,,
Yellow Kind ,Methamphetamine ,,,,,,,
Yellow Submarine ,Marijuana ,,,,,,,
Yellow Sunshine ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Yen Pop ,Marijuana ,,,,,,,
Yerba ,Marijuana ,,,,,,,
Yesca ,Marijuana ,,,,,,,
Yeyo ,Cocaine ,,,,,,,
Yimyom ,Crack Cocaine ,,,,,,,
Yoda ,Cocaine ,,,,,,,
Yokes ,Ecstasy/MDMA/Molly ,,,,,,,
Young Girls ,Marijuana ,,,,,,,
Yucatan ,Synthetic Cannabinoids ,,,,,,,
Yucatan Fire ,Synthetic Cannabinoids ,,,,,,,
Zacate ,Marijuana ,,,,,,,
Zacatecas ,Marijuana ,,,,,,,
Zambi ,Marijuana ,,,,,,,
Zanbars ,Alprazolam (Xanax®) ,,,,,,,
Zannies ,Alprazolam (Xanax®) ,,,,,,,
Zapapote ,Heroin ,,,,,,,
Zapato ,Cocaine ,,,,,,,
Z-Bars ,Alprazolam (Xanax®) ,,,,,,,
Zen ,LSD (Lysergic Acid Diethylamide) ,,,,,,,
Zero ,Opium ,,,,,,,
Zero Gravity ,Synthetic Cannabinoids ,,,,,,,
Zing ,Amphetamine and Dextroamphetamine Combination (Adderall®) ,,,,,,,
Zip ,Cocaine, Marijuana, Methamphetamine ,,,,,
Zohai ,Synthetic Cannabinoids ,,,,,,,
Zombie ,PCP (Phencyclidine), Synthetic Cannabinoids ,,,,,,
Zoom ,Marijuana mixed with PCP, Synthetic Cathinones ,,,,,,
Zoomers ,Amphetamine ,,,,,,,
